"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"ALTER";"GESCHLECHT";"BILDUNG";"LAND";"LAND_2";"BLUTSPENDEVERHALTEN";"BLUTSPENDEORGANISATION";"BLUTSPENDEORGANISATION_2";"AMOTIVATION_1";"AMOTIVATION_2";"AMOTIVATION_3";"EXTERNAL_REGULATION_1";"EXTERNAL_REGULATION_2";"EXTERNAL_REGULATION_3";"INTROJECTED_REGULATION_1";"INTROJECTED_REGULATION_2";"ATTENTION_CHECK";"INTROJECTED_REGULATION_3";"IDENTIFIED_REGUALTION_1";"IDENTIFIED_REGUALTION_2";"IDENTIFIED_REGUALTION_3";"INTEGRATED_REGULATION_1";"INTEGRATED_REGULATION_2";"INTEGRATED_REGULATION_3";"INTRINSIC_REGUALTION_1";"INTRINSIC_REGUALTION_2";"INTRINSIC_REGUALTION_3";"INTENTION_1";"INTENTION_2";"INTENTION_3";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6889058";"rts6889146";"rts6889149";"rts6891057";"rts6891082";"rts6891085";"rts6891089";"rts6891115";"rts6891152"
"599";"0";"1";"31";"6888322";"-77";"0";"1";"2";"4";"5";"2";"-99";"1";"4";"Testtext A+T";"3";"4";"2";"5";"1";"3";"2";"1";"2";"6";"4";"4";"5";"4";"7";"6";"4";"6";"2";"7";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"de05ff2e04aea81c35e30a28578d7be7";"1";"0";"1709334497";"2024-03-01 23:08:17";"2024-03-01 23:08:17";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"600";"0";"1";"31";"6888322";"-77";"0";"2";"71";"4";"1";"2";"-99";"1";"4";"Testtext A+T";"2";"6";"5";"2";"4";"4";"4";"7";"6";"6";"6";"7";"1";"3";"3";"7";"2";"1";"4";"6";"5";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"be3e3bebbb53a0038e36ec20969f040c";"1";"0";"1709334498";"2024-03-01 23:08:18";"2024-03-01 23:08:18";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"601";"0";"1";"31";"6888322";"-77";"0";"1";"34";"1";"1";"3";"-99";"3";"-77";"-66";"3";"1";"1";"4";"4";"5";"5";"2";"6";"5";"4";"2";"1";"7";"1";"6";"2";"2";"2";"1";"1";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"294833f8cebc95319f5888de652ec2aa";"1";"0";"1709334499";"2024-03-01 23:08:19";"2024-03-01 23:08:19";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"602";"0";"1";"31";"6888322";"-77";"0";"3";"89";"4";"7";"3";"-99";"1";"3";"-99";"1";"6";"2";"1";"5";"1";"2";"4";"6";"3";"4";"3";"1";"7";"4";"5";"7";"4";"1";"1";"2";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"f86adc7183733dcbff16167dbd43cfe2";"1";"0";"1709334500";"2024-03-01 23:08:20";"2024-03-01 23:08:20";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"603";"0";"1";"31";"6888322";"-77";"0";"2";"27";"2";"3";"2";"-99";"3";"-77";"-66";"2";"4";"6";"2";"1";"4";"2";"6";"3";"5";"4";"2";"7";"3";"7";"3";"5";"7";"4";"1";"3";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"90b640e8c0868cbf028b08a4be16d4b3";"1";"0";"1709334501";"2024-03-01 23:08:21";"2024-03-01 23:08:21";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"604";"0";"1";"31";"6888322";"-77";"0";"2";"71";"3";"5";"1";"-99";"3";"-77";"-66";"5";"5";"3";"1";"6";"7";"5";"2";"7";"2";"5";"5";"3";"6";"3";"7";"5";"5";"1";"7";"2";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"de3882f6eca53190000bcbebd0e28e7b";"1";"0";"1709334502";"2024-03-01 23:08:22";"2024-03-01 23:08:22";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"605";"0";"1";"31";"6888322";"-77";"0";"3";"41";"2";"6";"3";"-99";"3";"-77";"-66";"2";"4";"5";"3";"3";"4";"4";"1";"5";"2";"3";"6";"6";"6";"4";"6";"2";"7";"6";"3";"7";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"8906417195da0edbbbef56402448fef1";"1";"0";"1709334503";"2024-03-01 23:08:23";"2024-03-01 23:08:23";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"606";"0";"1";"31";"6888322";"-77";"0";"1";"41";"2";"7";"4";"Testtext A+T";"1";"1";"-99";"7";"5";"4";"7";"3";"4";"5";"2";"1";"4";"7";"1";"6";"4";"7";"6";"1";"7";"1";"6";"7";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"fa149fe32f59e81c76abfc5dc1c83b05";"1";"0";"1709334504";"2024-03-01 23:08:24";"2024-03-01 23:08:24";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"607";"0";"1";"31";"6888322";"-77";"0";"3";"4";"3";"1";"2";"-99";"1";"4";"Testtext A+T";"2";"3";"2";"7";"7";"7";"1";"4";"5";"6";"4";"5";"3";"5";"6";"2";"4";"1";"7";"2";"7";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"c106ab957bffda1bec902f79322a668e";"1";"0";"1709334505";"2024-03-01 23:08:25";"2024-03-01 23:08:25";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"608";"0";"1";"31";"6888322";"-77";"0";"1";"99";"2";"3";"4";"Testtext A+T";"3";"-77";"-66";"4";"4";"6";"3";"2";"1";"3";"5";"5";"4";"3";"4";"2";"4";"5";"5";"7";"5";"6";"5";"4";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"889cbfe2ac0ffc9afe360d1b0327a00f";"1";"0";"1709334506";"2024-03-01 23:08:26";"2024-03-01 23:08:26";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"609";"0";"1";"31";"6888322";"-77";"0";"2";"86";"3";"3";"3";"-99";"1";"4";"Testtext A+T";"7";"2";"1";"7";"4";"3";"6";"1";"7";"5";"5";"5";"5";"7";"1";"1";"7";"6";"7";"4";"6";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"d52a11398d9b3011aef4a5736715e860";"1";"0";"1709334507";"2024-03-01 23:08:27";"2024-03-01 23:08:27";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"610";"0";"1";"31";"6888322";"-77";"0";"1";"90";"3";"4";"3";"-99";"2";"-77";"-66";"6";"2";"2";"5";"6";"1";"4";"2";"2";"3";"4";"4";"1";"2";"1";"1";"7";"4";"3";"6";"7";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"7f74bc3802ca73381f0151905531fc44";"1";"0";"1709334508";"2024-03-01 23:08:28";"2024-03-01 23:08:28";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"611";"0";"1";"31";"6888322";"-77";"0";"2";"8";"3";"3";"4";"Testtext A+T";"2";"-77";"-66";"2";"5";"1";"2";"7";"3";"7";"1";"6";"6";"1";"3";"2";"1";"5";"6";"6";"4";"6";"5";"5";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"eda0b43a264893e2850082444d2a01a6";"1";"0";"1709334509";"2024-03-01 23:08:29";"2024-03-01 23:08:29";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"612";"0";"1";"31";"6888322";"-77";"0";"3";"89";"2";"3";"4";"Testtext A+T";"2";"-77";"-66";"3";"4";"7";"5";"2";"5";"6";"3";"3";"4";"2";"5";"1";"5";"3";"6";"7";"1";"6";"4";"2";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"ab2a476bba3083126cf908e91e705e4f";"1";"0";"1709334510";"2024-03-01 23:08:30";"2024-03-01 23:08:30";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"613";"0";"1";"31";"6888322";"-77";"0";"1";"30";"2";"6";"4";"Testtext A+T";"2";"-77";"-66";"1";"4";"6";"4";"7";"4";"3";"3";"7";"7";"1";"3";"4";"7";"7";"2";"7";"7";"3";"7";"2";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"da35705f48df152a69747f568bdf85db";"1";"0";"1709334511";"2024-03-01 23:08:31";"2024-03-01 23:08:31";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"614";"0";"1";"31";"6888322";"-77";"0";"3";"7";"1";"6";"1";"-99";"1";"1";"-99";"6";"7";"2";"7";"1";"5";"4";"6";"6";"6";"4";"6";"1";"1";"3";"4";"3";"6";"4";"1";"1";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"f96cabb414ecbc0931b2a2b535024c08";"1";"0";"1709334512";"2024-03-01 23:08:32";"2024-03-01 23:08:32";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"615";"0";"1";"31";"6888322";"-77";"0";"2";"21";"4";"2";"4";"Testtext A+T";"2";"-77";"-66";"5";"5";"6";"3";"5";"3";"5";"5";"2";"3";"2";"7";"3";"2";"6";"7";"1";"6";"4";"3";"7";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"2c940927cd2b34e75505a096c8cf105d";"1";"0";"1709334513";"2024-03-01 23:08:33";"2024-03-01 23:08:33";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"616";"0";"1";"31";"6888322";"-77";"0";"1";"100";"3";"4";"2";"-99";"2";"-77";"-66";"7";"3";"1";"4";"3";"7";"5";"4";"1";"3";"4";"3";"2";"4";"1";"1";"1";"1";"7";"5";"2";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"d6c138e1de9a822c4bc761a3fa96c1ec";"1";"0";"1709334514";"2024-03-01 23:08:34";"2024-03-01 23:08:34";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"617";"0";"1";"31";"6888322";"-77";"0";"2";"50";"4";"3";"2";"-99";"2";"-77";"-66";"5";"5";"1";"7";"4";"3";"7";"6";"7";"3";"6";"6";"4";"3";"7";"2";"7";"1";"1";"4";"7";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"8857ef944aecdcffc86e4ab22fad46cb";"1";"0";"1709334515";"2024-03-01 23:08:35";"2024-03-01 23:08:35";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"618";"0";"1";"31";"6888322";"-77";"0";"3";"4";"3";"3";"4";"Testtext A+T";"1";"1";"-99";"7";"1";"6";"1";"3";"3";"7";"1";"5";"4";"6";"5";"4";"1";"7";"4";"1";"1";"5";"2";"7";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"972002952941f5fe928e1228dc7b6d11";"1";"0";"1709334516";"2024-03-01 23:08:36";"2024-03-01 23:08:36";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"619";"0";"1";"31";"6888322";"-77";"0";"3";"55";"1";"4";"2";"-99";"3";"-77";"-66";"3";"5";"7";"4";"5";"6";"6";"6";"4";"6";"3";"2";"4";"3";"6";"1";"7";"5";"1";"3";"6";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"354d3aac41d74b2f4cf87dcbcf4603f1";"1";"0";"1709334517";"2024-03-01 23:08:37";"2024-03-01 23:08:37";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"620";"0";"1";"31";"6888322";"-77";"0";"1";"17";"2";"1";"3";"-99";"2";"-77";"-66";"7";"2";"6";"7";"4";"4";"2";"6";"7";"7";"3";"5";"2";"7";"5";"2";"5";"4";"2";"1";"4";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"a8743348d86f402fb41e7b983399471f";"1";"0";"1709334518";"2024-03-01 23:08:38";"2024-03-01 23:08:38";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"621";"0";"1";"31";"6888322";"-77";"0";"2";"67";"1";"4";"4";"Testtext A+T";"2";"-77";"-66";"7";"7";"3";"3";"3";"5";"5";"5";"5";"2";"4";"3";"3";"7";"3";"5";"3";"4";"6";"7";"1";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"67ba2156bbf97c2c4e9aac992a89cd4b";"1";"0";"1709334519";"2024-03-01 23:08:39";"2024-03-01 23:08:39";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"622";"0";"1";"31";"6888322";"-77";"0";"3";"34";"2";"6";"4";"Testtext A+T";"1";"1";"-99";"7";"3";"5";"1";"3";"1";"5";"5";"5";"3";"6";"4";"4";"2";"6";"3";"7";"5";"4";"7";"7";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"1";"1";"0";"-77";"-77";"1a4ec5f396baa6dee6e44a1d94cd1462";"1";"0";"1709334520";"2024-03-01 23:08:40";"2024-03-01 23:08:40";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"623";"0";"1";"31";"6888322";"-77";"0";"1";"19";"2";"2";"1";"-99";"3";"-77";"-66";"6";"4";"5";"2";"7";"3";"1";"3";"3";"3";"3";"6";"4";"7";"1";"2";"4";"2";"5";"4";"3";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"98987e4175e2c0646fe144bdabcca1f7";"1";"0";"1709334521";"2024-03-01 23:08:41";"2024-03-01 23:08:41";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"624";"0";"1";"31";"6888322";"-77";"0";"2";"58";"1";"6";"1";"-99";"1";"4";"Testtext A+T";"5";"4";"3";"2";"6";"3";"5";"6";"5";"6";"5";"3";"4";"1";"3";"2";"1";"2";"2";"6";"5";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"63183d6d8e37e3b18acb4d52fc8bf22f";"1";"0";"1709334522";"2024-03-01 23:08:42";"2024-03-01 23:08:42";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"625";"0";"1";"31";"6888322";"-77";"0";"2";"65";"3";"2";"2";"-99";"1";"4";"Testtext A+T";"4";"3";"3";"5";"1";"4";"6";"7";"3";"4";"1";"3";"1";"1";"4";"3";"2";"7";"4";"5";"2";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"c6ab7173a084047322dce5821562f9b8";"1";"0";"1709334523";"2024-03-01 23:08:43";"2024-03-01 23:08:43";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"626";"0";"1";"31";"6888322";"-77";"0";"3";"94";"4";"1";"1";"-99";"2";"-77";"-66";"6";"6";"6";"6";"5";"4";"3";"2";"2";"1";"7";"2";"7";"7";"2";"6";"7";"5";"3";"1";"4";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"cbb1198617805eb7632d0737dde7c155";"1";"0";"1709334524";"2024-03-01 23:08:44";"2024-03-01 23:08:44";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"627";"0";"1";"31";"6888322";"-77";"0";"1";"59";"1";"3";"3";"-99";"1";"1";"-99";"4";"1";"5";"7";"7";"5";"5";"5";"2";"7";"2";"7";"3";"7";"6";"6";"2";"1";"3";"3";"7";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"bbdaa970a1f9995684a0c892bf610ec1";"1";"0";"1709334525";"2024-03-01 23:08:45";"2024-03-01 23:08:45";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"628";"0";"1";"31";"6888322";"-77";"0";"3";"3";"3";"6";"3";"-99";"1";"3";"-99";"6";"6";"6";"2";"1";"5";"2";"2";"2";"2";"6";"3";"7";"5";"1";"5";"5";"2";"3";"6";"5";"7";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889146,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"63a7a63d1753d8fc36ff7ad920c82cb5";"1";"0";"1709334526";"2024-03-01 23:08:46";"2024-03-01 23:08:46";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"629";"0";"1";"31";"6888322";"-77";"0";"1";"72";"2";"7";"2";"-99";"2";"-77";"-66";"3";"3";"3";"5";"6";"6";"4";"2";"5";"2";"2";"1";"2";"3";"3";"3";"2";"3";"5";"7";"5";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"e1860c0b69da78257470352d32c9f45b";"1";"0";"1709334527";"2024-03-01 23:08:47";"2024-03-01 23:08:47";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"630";"0";"1";"31";"6888322";"-77";"0";"2";"69";"1";"2";"1";"-99";"3";"-77";"-66";"2";"4";"7";"6";"5";"7";"3";"3";"1";"5";"7";"1";"1";"2";"1";"6";"5";"1";"7";"4";"6";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"1";"0";"0";"-77";"-77";"14b568b7ab4fd445a6f9214df79055e0";"1";"0";"1709334528";"2024-03-01 23:08:48";"2024-03-01 23:08:48";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"631";"0";"1";"31";"6888322";"-77";"0";"2";"38";"4";"7";"4";"Testtext A+T";"2";"-77";"-66";"7";"4";"6";"7";"5";"1";"7";"7";"5";"1";"3";"5";"6";"2";"6";"1";"4";"6";"1";"2";"2";"6";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891085,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"f79c9035c1dfcf02aa80a154c21d660a";"1";"0";"1709334529";"2024-03-01 23:08:49";"2024-03-01 23:08:49";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"632";"0";"1";"31";"6888322";"-77";"0";"3";"9";"1";"2";"3";"-99";"3";"-77";"-66";"7";"5";"5";"7";"4";"1";"3";"4";"1";"6";"4";"1";"1";"1";"7";"1";"6";"4";"4";"3";"2";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891084,6891088,6891089,6891115,6891152,6888322";"0";"1";"0";"-77";"-77";"15a0b94923d7bc1469e9d75b5b0a4bf5";"1";"0";"1709334530";"2024-03-01 23:08:50";"2024-03-01 23:08:50";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"633";"0";"1";"31";"6888322";"-77";"0";"1";"27";"2";"1";"3";"-99";"3";"-77";"-66";"7";"5";"2";"4";"7";"6";"7";"1";"4";"1";"1";"5";"2";"2";"7";"2";"4";"5";"6";"4";"2";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6889058,6889145,6889149,6891057,6891077,6891082,6891084,6891088,6891115,6891152,6888322";"0";"0";"0";"-77";"-77";"320f807fc0c65f1041ea2cfdd69e821c";"1";"0";"1709334531";"2024-03-01 23:08:51";"2024-03-01 23:08:51";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0"
